Keyword,Count
horrible eat,1
needs cafe,1
meals students,1
food banks,1
students purchase,1
pantry recent,1
recent grant,1
efforts food,1
opportunity,1
great opportunity,1
opportunity students,1
cafeteria realistically,1
areas campus,1
processed meals,1
cafeteria cost,1
veritable foods,1
covid inflation,1
deal quality,1
processed fried,1
purchase campus,1
difficult,1
justify,1
justify location,1
difficult justify,1
variety needs,1
taste variety,1
quality taste,1
opportunity food,1
nmsu closed,1
access healthier,1
location cafeteria,1
healthier veritable,1
away campus,1
better location,1
available faculty,1
plenty eat,1
meals plenty,1
balanced meals,1
affordable vending,1
salads campus,1
need offered,1
basic need,1
pantry helpful,1
campus probably,1
quality decreased,1
campus dietary,1
food commonly,1
hall hours,1
need cheaper,1
machine,1
students participate,1
staffs campus,1
great cafeteria,1
moment,1
expensive moment,1
wheels saved,1
price high,1
unm student,1
little vegan,1
vegan little,1
vegan options,1
providing food,1
embarrassed workers,1
variety fast,1
stays way,1
hope stays,1
let hope,1
atmosphere,1
like atmosphere,1
atmosphere campus,1
rich,1
little nice,1
helpful students,1
align schedule,1
schedule stuck,1
option campus,1
cost healthy,1
effort,1
cafeteria salad,1
lost food,1
buy monday,1
campus monday,1
budget eat,1
expensive quality,1
oprtions,1
like oprtions,1
selection terrible,1
isnâ campus,1
receiving meals,1
albuquerque meals,1
meals albuquerque,1
scandal students,1
students forced,1
cafeteria purple,1
quality cafeteria,1
option,1
ve eaten,1
times purchase,1
lunch comfort,1
staff lunch,1
organics,1
cafeteria provide,1
include organics,1
provide healthier,1
hours closed,1
cafeteria limited,1
student cafeteria,1
caf fare,1
effort funding,1
salad options,1
funding isn,1
park,1
machines sunlandn,1
sunlandn park,1
deli,1
run deli,1
alamogordo,1
cafe alamogordo,1
sufficient food,1
students needs,1
price afford,1
students price,1
pricy,1
options pricy,1
slim options,1
expensive microwavable,1
ebt,1
accept ebt,1
prepackaged foods,1
ebt cards,1
machines hot,1
nnmc,1
nnmc vending,1
access meal,1
don food,1
make food,1
food bring,1
expencive foreigners,1
foreigners,1
high prices,1
vegetarian food,1
adjacent campus,1
eating food,1
eating outside,1
needs diversity,1
space vendors,1
vendors campus,1
selections expensive,1
fresh options,1
home cheaper,1
cheaper healthier,1
easier healthy,1
high calorie,1
calorie vegetarian,1
place nutritious,1
slim pricey,1
staff club,1
options dispersed,1
service stocking,1
services focus,1
unm food,1
healthy variety,1
food convivence,1
convivence foods,1
does campus,1
campus costs,1
unm chartwell,1
power dining,1
unm university,1
use carts,1
campus little,1
day buffet,1
buffet,1
packaged,1
unhealthy tempting,1
tempting unhealthy,1
food fast,1
cafeteria place,1
days week,1
ought available,1
hours days,1
available business,1
business hours,1
care frozen,1
frozen,1
meals thing,1
vegan bring,1
really,1
really available,1
overpriced processed,1
